geneSymbol,TR1,TR2,TR3,WR1,WR2,WR3,Entrez
POLR2M,10.534507,11.202795,11.29568,13.021945,13.651866,12.687839,81488
POLR3A,18.075198,18.283097,17.986799,21.286401,21.913471,21.090403,11128
POLR3B,17.179395,16.956104,18.138655,22.384395,24.035676,21.785835,55703
POLR3C,17.071313,15.259566,17.448071,18.539,19.501767,17.702799,10623
POLR3D,21.499334,20.23602,20.422018,22.140828,19.932808,18.88716,661
POLR3E,26.823469,24.541295,27.601394,31.111886,32.616073,34.041231,55718
POLR3F,14.165045,14.353233,15.072113,18.757649,18.00243,16.075054,10621
POLR3G,4.030146,3.879589,3.426075,6.83635,7.402092,6.64612,10622
POLR3GL,12.121692,13.31052,12.852921,14.314734,10.775951,11.428102,84265
POLR3H,23.02287,26.277912,24.683623,31.214659,30.198744,31.945694,171568
POLR3K,53.189716,53.742984,46.833029,74.977973,76.745939,77.405361,51728
POLRMT,58.808375,58.118931,56.57217,50.677711,49.500092,56.282003,5442
POM121,55.135315,54.145556,53.954567,65.127215,65.236101,65.179433,9883
POM121C,20.703531,20.793392,21.103953,26.074108,25.118093,26.190366,100101267
POM121L10P,0.063334,0.062781,0.046522,0.029595,0.014925,0.021786,646074
POM121L1P,0,0,0.019723,0,0,0.017916,25812
POM121L8P,0.057019,0.069227,0.045907,0.069471,0.019392,0.041481,29797
POM121L9P,0.060285,0.024878,0.040831,0.024389,0.027708,0.032731,29774
POMGNT1,33.807647,34.575813,34.554951,39.440561,39.857306,36.183608,55624
POMGNT2,7.308664,8.18303,8.757822,10.524154,10.397383,9.8675,84892
POMK,5.703467,4.696093,5.13894,6.870909,7.245674,5.838567,84197
POMP,132.75686,131.403247,133.870773,145.423567,147.113388,131.255288,51371
POMT1,11.751309,13.254526,12.966451,9.163146,9.279256,9.92892,10585
POMT2,10.884697,10.99109,11.002461,9.447005,10.018545,9.829362,29954
POMZP3,5.166163,4.915141,4.532985,6.069915,6.062835,6.298535,22932
PON1,11.850401,11.104516,12.049901,9.842018,9.664581,9.484252,5444
PON2,124.709879,124.239638,123.245363,128.407259,126.78165,124.329853,5445
PON3,8.051192,7.435692,7.566457,7.281905,10.739817,8.822094,5446
POP1,14.915075,14.913438,14.22092,22.029356,21.011542,24.194319,10940
POP4,14.967707,14.540484,15.912562,14.494287,15.375483,15.283693,10775
POP5,75.367563,72.696678,69.081894,90.985176,101.097022,101.192744,51367
POP7,101.319578,92.979415,99.807323,96.948311,96.793705,102.339328,10248
POPDC2,0.240821,0.224705,0.35824,0.166635,0.272884,0.366794,64091
POPDC3,14.119716,13.750111,11.685458,12.210791,14.868587,13.380929,64208
POR,173.217946,167.731613,170.997348,139.889261,140.684211,147.549617,5447
PORCN,4.682187,5.851861,5.892709,5.368685,4.086861,5.416131,64840
POT1,4.426675,4.886286,4.441169,4.499704,5.350872,5.246816,25913
POT1-AS1,0.057873,0.04948,0.017205,0.181405,0.148431,0.022101,401398
POTEC,0.009318,0.008739,0,0.00646,0,0.021402,388468
POTEE,0,0.035838,0.019277,0,0,0.02735,445582
POTEI,0,0.104039,0,0.186673,0.144292,0.103754,653269
POTEJ,0.118201,0,0.061691,0,0,0,653781
POTEM,0.029253,0.020339,0.016336,0.044416,0.037115,0.052556,641455
POU2AF1,1.741541,1.596151,1.769289,1.374523,1.838929,2.213746,5450
POU2F1,5.930065,6.400969,6.550476,7.713869,7.756537,7.969766,5451
POU2F2,0.08827,0.088768,0.10924,0.190213,0.1464,0.125307,5452
POU2F3,0,0,0.019598,0.049089,0,0,25833
POU3F1,0,0,0.019417,0,0,0.024932,5453
POU3F2,3.769908,3.499596,3.171784,4.121816,3.020162,3.95618,5454
POU4F3,0,0.113466,0.054437,0,0.071636,0,5459
POU5F1,2.022906,2.01529,1.768576,1.578544,1.390408,1.306088,5460
POU5F1P5,0,0,0.072879,0,0,0,100009667
POU5F2,0.054587,0,0.048747,0.037755,0,0,134187
POU6F1,4.615335,4.432237,4.078686,3.007337,3.072526,3.481761,5463
POU6F2,3.424365,3.600451,3.858132,3.173247,3.567022,2.98021,11281
POU6F2-AS1,6.369813,8.831632,5.762414,6.863964,4.675578,5.255437,100861520
POU6F2-AS2,2.033027,2.00275,2.334426,2.196649,2.354151,2.102314,100689074
PP7080,7.809892,6.521594,6.126861,7.3924,6.857818,6.280682,25845
PPA1,208.502839,209.988037,218.648699,250.029103,253.804145,243.429309,5464
PPA2,50.168028,52.619312,50.121567,59.047052,59.343445,58.551693,27068
PPAN,24.47825,24.103085,22.924316,32.2443,34.276156,36.671873,56342
PPAN-P2RY11,3.274748,3.389704,3.821103,3.528301,3.732901,3.872646,692312
PPARA,5.716085,5.971421,5.046552,4.156351,3.52723,3.501957,5465
PPARD,22.332397,22.604324,22.836894,17.201589,17.921468,17.49753,5467
PPARG,50.676208,50.957965,52.502171,54.682437,51.628551,53.618072,5468
PPARGC1A,13.888727,12.123192,13.216765,8.730137,8.343938,8.461017,10891
PPARGC1B,2.669345,2.608267,2.816859,3.646079,4.015024,3.545327,133522
PPAT,28.397744,27.848134,27.764578,42.433356,39.543295,37.650957,5471
