entrezID,CHO_Core_1,CHO_Core_2,CHO_Core_6,CHO_Core_8,CHO_Core_9,CHO_Core_10,CHO_Core_11,CHO_Core_12,CHO_Core_13,CHO_Core_14,CHO_Core_15,CHO_Core_16,CHO_Core_17,CHO_Core_18
100754874,3.75276292354682,4.01244544323395,4.16201832029266,2.78947423069008,3.96550810958787,4.08715196852755,4.07819466867657,4.42692060900668,2.56231102087458,2.59860030824658,2.90578031242857,2.12014276115064,3.32341000937567,3.03366744202611
100754883,3.18395499212823,3.35122763563039,3.0899458208008,2.52101266793907,3.13910261168821,2.9560030786106,3.58188985791995,3.53652158714121,4.36980139463789,4.09041149671201,4.69134819296465,2.26652997792595,3.62840675623146,3.54285840091197
100754895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100754900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100754969,0,0,0,0,9.4353482451619,4.3773436867695,4.3773436867695,6.6750053336617,0,4.3773436867695,0,4.3773436867695,0,0
100754972,1.919794514436,1.77272508840454,2.40292869288136,2.06266137665628,1.9917382016965,0.876020445125453,0.964518330622458,1.54367740824807,4.9306715262071,5.04832401325807,6.27898936095261,3.57100294878889,4.64487945700735,5.83566117552433
100754978,3.59472495406143,3.82318653934545,3.80351530419298,3.23532299636029,3.07546001445612,2.9776111427066,4.32034736793405,4.3711893760916,3.36070921022627,3.12649739861856,3.67120131750934,2.12403939291032,3.31745233607037,3.29840913556057
100754996,3.16426445308068,3.74575236871873,3.59262114247838,2.71801843189825,2.94965621287388,2.93548903075849,3.53003091171159,3.66057735578264,3.79975135074986,3.64213525179759,4.06699052296693,2.65839251234422,3.83542938184816,3.94096093751579
100755005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100755056,4.69134819296465,2.87682072451781,0,2.87682072451781,6.01986402162968,0,2.87682072451781,2.87682072451781,2.87682072451781,6.01986402162968,2.87682072451781,2.87682072451781,4.69134819296465,2.87682072451781
100755105,2.62910760104002,2.79243076646025,2.85181836074852,2.24547139146004,4.89617021323759,5.25084171156822,5.06587561605657,4.90073296221196,2.30912677962192,2.03123584584034,2.66727384658184,1.98968418144101,3.44681079294898,3.49179144952928
100755145,3.93477531225027,4.10966008844909,4.04195351921238,3.48149540184488,2.38721552346093,2.52245931624886,3.37012131963703,3.35276449585974,3.74552091129407,4.17646205761764,3.96563280494426,2.24821161181025,3.49841180270803,3.15775370684339
100755154,4.34428149756064,4.45862039961599,4.19070405313959,3.45349201591291,2.80058284241727,2.95060749100392,3.43675723544689,3.29925739845201,3.72254325745069,3.52586807770486,4.04441980255034,1.76387872755681,3.09462993392384,2.75887352137836
100755179,6.6750053336617,6.6750053336617,9.4353482451619,6.6750053336617,0,0,0,0,0,0,0,0,0,0
100755180,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100755186,0,0,0,0,0,0,13.5402510055111,0,0,0,0,0,0,0
100755187,3.02259830610005,3.02842605516758,3.06035782165461,2.57132805055271,3.87804474512844,3.94394987672356,3.91232619610413,3.99701539669806,3.34165814169962,3.28388356397275,4.09678456251433,2.36614481390441,3.81374880845788,3.80128885184963
100755202,3.60569892643165,4.20500344441454,3.59086997794961,2.57778319018732,3.769562746153,3.78387183196146,4.38558502391277,4.95379561307232,2.98787963435114,2.7123549424214,3.04203715960634,2.00005968608319,3.12830184264356,2.96268462003177
