SampleID_S1,TaskID_S1,TaskScore_S1,BinaryTaskScore_S1,EssentialRxnsTask_S1,ExpressionScoreEssentialRxnsTask_S1,GeneAssociatedToEssentialRxnsTask_S1,GeneExpressionValue_S1,SampleID_S2,TaskID_S2,TaskScore_S2,BinaryTaskScore_S2,EssentialRxnsTask_S2,ExpressionScoreEssentialRxnsTask_S2,GeneAssociatedToEssentialRxnsTask_S2,GeneExpressionValue_S2,SampleID_S3,TaskID_S3,TaskScore_S3,BinaryTaskScore_S3,EssentialRxnsTask_S3,ExpressionScoreEssentialRxnsTask_S3,GeneAssociatedToEssentialRxnsTask_S3,GeneExpressionValue_S3,SampleID_S4,TaskID_S4,TaskScore_S4,BinaryTaskScore_S4,EssentialRxnsTask_S4,ExpressionScoreEssentialRxnsTask_S4,GeneAssociatedToEssentialRxnsTask_S4,GeneExpressionValue_S4,SampleID_S5,TaskID_S5,TaskScore_S5,BinaryTaskScore_S5,EssentialRxnsTask_S5,ExpressionScoreEssentialRxnsTask_S5,GeneAssociatedToEssentialRxnsTask_S5,GeneExpressionValue_S5,SampleID_S6,TaskID_S6,TaskScore_S6,BinaryTaskScore_S6,EssentialRxnsTask_S6,ExpressionScoreEssentialRxnsTask_S6,GeneAssociatedToEssentialRxnsTask_S6,GeneExpressionValue_S6
1,5,1.142859745,0,PDI_2,3.428579236,5034,25.64281654,2,5,1.164120901,1,PDI_2,3.492362703,5034,26.30619049,3,5,1.159539255,1,PDI_2,3.478617764,5034,26.16252136,4,5,1.150919133,0,PDI_2,3.452757399,5034,25.89328384,5,5,1.149223982,0,PDI_2,3.447671945,5034,25.84050179,6,5,1.164690385,1,PDI_2,3.494071154,5034,26.3240757
1,5,1.142859745,0,PDI_reoxidation_ERO1A,-1,30001,,2,5,1.164120901,1,PDI_reoxidation_ERO1A,-1,30001,,3,5,1.159539255,1,PDI_reoxidation_ERO1A,-1,30001,,4,5,1.150919133,0,PDI_reoxidation_ERO1A,-1,30001,,5,5,1.149223982,0,PDI_reoxidation_ERO1A,-1,30001,,6,5,1.164690385,1,PDI_reoxidation_ERO1A,-1,30001,
1,5,1.142859745,0,PDI_reoxidation_ERO1LB,-1,56605,,2,5,1.164120901,1,PDI_reoxidation_ERO1LB,-1,56605,,3,5,1.159539255,1,PDI_reoxidation_ERO1LB,-1,56605,,4,5,1.150919133,0,PDI_reoxidation_ERO1LB,-1,56605,,5,5,1.149223982,0,PDI_reoxidation_ERO1LB,-1,56605,,6,5,1.164690385,1,PDI_reoxidation_ERO1LB,-1,56605,
1,5,1.142859745,0,PDI_reoxidation_GSSG,3.428579236,5034,25.64281654,2,5,1.164120901,1,PDI_reoxidation_GSSG,3.492362703,5034,26.30619049,3,5,1.159539255,1,PDI_reoxidation_GSSG,3.478617764,5034,26.16252136,4,5,1.150919133,0,PDI_reoxidation_GSSG,3.452757399,5034,25.89328384,5,5,1.149223982,0,PDI_reoxidation_GSSG,3.447671945,5034,25.84050179,6,5,1.164690385,1,PDI_reoxidation_GSSG,3.494071154,5034,26.3240757
1,5,1.142859745,0,PDI_reoxidation_H2O2,3.428579236,5034,25.64281654,2,5,1.164120901,1,PDI_reoxidation_H2O2,3.492362703,5034,26.30619049,3,5,1.159539255,1,PDI_reoxidation_H2O2,3.478617764,5034,26.16252136,4,5,1.150919133,0,PDI_reoxidation_H2O2,3.452757399,5034,25.89328384,5,5,1.149223982,0,PDI_reoxidation_H2O2,3.447671945,5034,25.84050179,6,5,1.164690385,1,PDI_reoxidation_H2O2,3.494071154,5034,26.3240757
1,5,1.142859745,0,ERO1A_reoxidation_1,-1,30001,,2,5,1.164120901,1,ERO1A_reoxidation_1,-1,30001,,3,5,1.159539255,1,ERO1A_reoxidation_1,-1,30001,,4,5,1.150919133,0,ERO1A_reoxidation_1,-1,30001,,5,5,1.149223982,0,ERO1A_reoxidation_1,-1,30001,,6,5,1.164690385,1,ERO1A_reoxidation_1,-1,30001,
1,5,1.142859745,0,ERO1LB_reoxidation_1,-1,56605,,2,5,1.164120901,1,ERO1LB_reoxidation_1,-1,56605,,3,5,1.159539255,1,ERO1LB_reoxidation_1,-1,56605,,4,5,1.150919133,0,ERO1LB_reoxidation_1,-1,56605,,5,5,1.149223982,0,ERO1LB_reoxidation_1,-1,56605,,6,5,1.164690385,1,ERO1LB_reoxidation_1,-1,56605,
1,5,1.142859745,0,H2O2ter,-1,,,2,5,1.164120901,1,H2O2ter,-1,,,3,5,1.159539255,1,H2O2ter,-1,,,4,5,1.150919133,0,H2O2ter,-1,,,5,5,1.149223982,0,H2O2ter,-1,,,6,5,1.164690385,1,H2O2ter,-1,,
1,6,0.92187799,0,Glucosidase_1,-1,7841,,2,6,0.93934044,1,Glucosidase_1,-1,7841,,3,6,0.916617582,0,Glucosidase_1,-1,7841,,4,6,0.948007849,1,Glucosidase_1,-1,7841,,5,6,0.944273235,1,Glucosidase_1,-1,7841,,6,6,0.940711053,1,Glucosidase_1,-1,7841,
1,6,0.92187799,0,Glucosidase_2,3.429919238,23193,24.93395615,2,6,0.93934044,1,Glucosidase_2,3.490312564,23193,25.54433441,3,6,0.916617582,0,Glucosidase_2,3.39749127,23193,24.6092453,4,6,0.948007849,1,Glucosidase_2,3.510734901,23193,25.75241089,5,6,0.944273235,1,Glucosidase_2,3.489932126,23193,25.54046631,6,6,0.940711053,1,Glucosidase_2,3.475102701,23193,25.38991737
