Entrez,TRAb_R1,TRAb_R2,TRAb_R3,WTAb_R1,WTAb_R2,WTAb_R3
4719,3.38644755911644,3.44920833705634,3.38367722674601,3.55047834109267,3.49949081208821,3.52262948863937
7384,3.20065564409234,3.48257898970064,3.45502648321444,3.55864277007464,3.51980571685075,3.56853573372322
5631,3.39488976435461,3.38995042814986,3.35743122919719,3.54606194259048,3.47763142321524,3.49814445728977
5634,3.39488976435461,3.38995042814986,3.35743122919719,3.54606194259048,3.47763142321524,3.49814445728977
1373,3.20108474969024,3.73840084766594,3.75231041721274,3.4639044508152,3.23782209504617,3.37207901618527
5710,3.57700745780443,3.20952056600088,3.56531992408036,3.22922872624438,3.28523997667886,3.29694637070875
57026,3.60138890624345,3.33124632883672,3.51004615582128,3.40628676917277,3.35943691919165,3.20635778867384
4257,3.28418217213799,3.59647902041154,3.24922444755347,3.52271896299754,3.55016986224169,3.57968784538422
3309,3.77970276365182,3.74723702112208,3.81836176416607,3.6707505845316,3.66634783315428,3.69326559871144
162,3.42984143988896,3.40869414434884,3.3975712857596,3.55006388641857,3.5146159013223,3.49169121986055
1329,3.26282619816334,3.19791775152679,3.27460210149471,3.26582526659904,3.47803078708279,3.43403435209152
5049,3.41628918681032,3.41868146447523,3.31766630278628,3.30006905377889,3.28763672231534,3.16700638238759
7317,3.62759783207138,3.50496078803266,3.58486829331444,3.490789725564,3.49024202949487,3.38934821394286
5162,3.31441424474265,3.47677992700685,3.33757561632061,3.47977268993568,3.5057052384613,3.54536346242879
4723,3.44197966450352,3.50184144876952,3.2268558475207,3.50650076629601,3.56083597007621,3.54882708190269
55902,3.6018797169597,3.49648054722902,3.53429920853765,3.16054122774513,3.48250671534331,3.50694442104155
5711,3.38362026692123,3.33710855933414,3.3062702935065,3.49543111113374,3.41059303629258,3.46995561758837
353,3.61376053669517,3.20903080733662,3.54761874275089,3.38469387670086,3.23088691159327,3.26317175739665
27430,3.46717834054767,3.29261067576237,3.44567427929238,3.17360929702285,3.40328934893327,3.21104003490961
291,3.26487477151011,3.26187295107616,3.25188008251941,3.35329959603424,3.3665469870617,3.39928397815039
8729,3.45282663800255,3.4261941667621,3.42322985727698,3.54718787540145,3.53395222276715,3.50153184321201
2023,3.95168833372153,3.84635941458871,4.02575647463989,3.84785111383916,3.84611325670916,3.81612530005039
10952,3.68612856035649,3.65660049903464,3.29650511129748,3.2460762696395,3.25272308053164,3.63287700361833
6307,3.30298311220808,3.18537716227974,3.27687907746926,3.45802680852427,3.47461500332942,3.23803490015168
32,3.36624083922231,3.48922454192132,3.38264995330159,3.49414843394283,3.55062641391631,3.50880838996164
