Entrez,TRAb_R1,TRAb_R2,TRAb_R3,WTAb_R1,WTAb_R2,WTAb_R3
27430,3.47657751947512,3.30167639529805,3.45503300829452,3.18244092080946,3.41256783818295,3.21994589394997
291,3.273886427722,3.27087873804496,3.26086630569402,3.36248256864776,3.37575536504079,3.40855484945101
2023,3.95415450129307,3.84878199082029,4.0282527504716,3.85027431385915,3.84853572998626,3.81853519297954
6307,3.31206897281056,3.1942321849595,3.2859141695771,3.46740879438725,3.48402813038047,3.24699395274308
32,3.36624083922231,3.48922454192132,3.38264995330159,3.49414843394283,3.55062641391631,3.50880838996164
166012,3.46387438229144,3.35287879231573,3.41888603766184,3.51918711674111,3.49263420802461,3.54448890412185
2590,3.5434818642863,3.57758034830628,3.56809525206262,3.63975131344786,3.66006148051202,3.64237912693847
2752,3.28154929805907,3.50765065940734,3.43014426729606,3.51231681709035,3.48153241907625,3.576098572217
11332,3.49780604467387,3.39150753196345,3.31264616281769,3.3140799597576,3.24291197034756,3.293279366635
2530,3.212545896752,3.43390253683505,3.35106062573447,3.43193197971195,3.46849837966948,3.4579096446994
1152,3.74019272993969,3.69046745778739,3.75650735944042,3.64386295776863,3.64268610731456,3.63828228133024
6480,3.45817193211703,3.38328516467267,3.41809597906717,3.51690252568494,3.4818028845701,3.53448551916397
6240,3.33819876331438,3.4700793684946,3.27220325328861,3.47743519010067,3.42880437606557,3.51587930934573
55577,3.70729315169108,3.43395507656252,3.434984003966,3.41370761315559,3.4004610730008,3.39672112352971
5230,3.71821339184097,3.6077093365318,3.74073235379674,3.60140079658309,3.60601456475944,3.59142397685023
10402,3.34115869627856,3.28174037524469,3.30824530176158,3.30492056065895,3.4727747635545,3.48278685356667
64087,3.23436052822417,3.49002608665482,3.48767746849203,3.52720920856885,3.54949203653413,3.49473339575823
6713,3.27159579919284,3.56915802497349,3.43547461521121,3.15510352502372,3.51050128180582,3.20933373926064
6611,3.29902439586003,3.47624816517773,3.46219237940807,3.51027143415196,3.49776511568177,3.54521616356461
9415,3.46195746152107,3.45041355878194,3.3786571060195,3.5339312473462,3.47210640721015,3.53050064914174
4249,3.63264333813512,3.21722933236347,3.70702503860127,3.58655675567973,3.29051351733634,3.25127168707086
521,3.33925864029024,3.15513686477724,3.37236639453964,3.37601334094608,3.33395743855338,3.48753887314997
204,3.32496764276175,3.47184719715802,3.29452572022248,3.44358760680826,3.46376419036349,3.49540965728677
8402,3.31871476745715,3.41078232260593,3.35860919249965,3.43684465006577,3.42422284189971,3.48867515333182
55361,3.37514002134429,3.5600478832183,3.41909208719529,3.45574837232814,3.42152892936461,3.11509810742926
80347,3.51190280615254,3.54574210915711,3.14542435983435,3.54396865414507,3.50170868612855,3.53356010234061
7086,3.53026854771875,3.50460490207259,3.61737595239641,3.48215568689406,3.45334074270741,3.47469268737892
28976,3.37982784161145,3.47964358934947,3.41358111655052,3.49349352399198,3.49315685129771,3.53308016619769
7355,3.37291845837506,3.23373524325126,3.44391053427891,3.51705349890006,3.51374503643493,3.32695269681506
5464,3.55193448299757,3.38221233980444,3.60127183282113,3.43447257706888,3.46344556189819,3.35650121340771
2731,3.44587595538925,3.27055580745211,3.41831775256759,3.44727501163856,3.51348615541536,3.45781487236412
873,3.68791528765044,3.28030639512421,3.59382387549572,3.52609220930411,3.47272024520835,3.21704181693058
22978,3.31019578958241,3.35731424850813,3.22128485191435,3.45296999566102,3.47614799969704,3.25039803615913
1327,3.4180422111506,3.46593658067193,3.40713968185636,3.49329632258062,3.47900861453368,3.52991583635269
26275,3.46660889998514,3.2028048248911,3.28595994386496,3.49919378057096,3.44899247939218,3.31279120808347
1666,3.30861680338329,3.52167831131147,3.42558850863599,3.49060080539417,3.52622877761733,3.51808005134269
3422,3.47902179486483,3.5667120473511,3.46620179022416,3.41451344158654,3.46183801885403,3.40444701631515
8802,3.35029311202847,3.43144059606152,3.46283642445011,3.44996226397289,3.5030781474249,3.53060155878098
6319,3.53316031853433,3.48429381276585,3.47777804561169,3.43382202769531,3.42305906529141,3.44145438491335
27068,3.26384959010549,3.46338405922474,3.42385411049691,3.53220847765906,3.54208580963336,3.34640661735381
10476,3.42338031345105,3.45394883709628,3.42152490360114,3.52081257398766,3.50200408628894,3.47191689964682
1808,3.50654801890118,3.47769323736888,3.49966654733328,3.42557218298964,3.45491833458327,3.4320636019686
230,3.5277171090529,3.4757346800614,3.49511709497695,3.47250712109439,3.41104911983534,3.41120923140119
7360,3.36915713574091,3.4464735783348,3.31292129067357,3.488167543617,3.41265475999333,3.46784705270657
51071,3.45035185557307,3.31025479034841,3.35572320217226,3.45886991077434,3.38097545952777,3.50344984687159
9551,3.15566459963407,3.55419870275355,3.52682696292332,3.52783569283218,3.5154967284312,3.50303690994259
5825,3.36025822970486,3.48596635902149,3.43752954063142,3.50893466949145,3.50966828001799,3.49039155929648
231,3.61319773394531,3.38730458080511,3.51613253314455,3.482942151658,3.43348776286375,3.35698017662396
2271,3.3662612829616,3.46821398578241,3.45736189752743,3.4938031323944,3.49881124129884,3.50860043681136
6723,3.50311362823371,3.22869111856821,3.46791010892273,3.35609290832221,3.36778815273883,3.21795280308025
9550,3.52476934155023,3.40118299415789,3.57744884733145,3.39130911284364,3.44412356840488,3.4529452526765
534,3.52476934155023,3.40118299415789,3.57744884733145,3.39130911284364,3.44412356840488,3.4529452526765
205,3.45005066745585,3.43970586330974,3.42654454822279,3.47328465003673,3.50199491638691,3.50231771875817
6510,3.20922572499522,3.35935631323409,3.33377479098029,3.33635519849291,3.39270254345713,3.39640995721432
509,3.43121311125754,3.47432880992549,3.40103396671699,3.4695181162538,3.4961362185529,3.52123882657145
2739,3.57181985132485,3.38642607000673,3.54472638519894,3.44700793955666,3.41321534279072,3.42838443135299
