Entrez,TRAb_R1,TRAb_R2,TRAb_R3,WTAb_R1,WTAb_R2,WTAb_R3
7167,3.52607025370767,3.47366717718166,3.58617933869854,3.39838233132224,3.39072839478489,3.41629872450313
2683,3.33044889543283,3.25602656129231,3.48684393781309,3.5844434133269,3.58310322860521,3.54393058822503
52,3.57161887089566,3.51070718721393,3.67137640892726,3.16960575442918,3.54518906878878,3.30862266667151
11253,3.35314801605593,3.43802395155162,3.39400995343884,3.52473529154599,3.5433880059676,3.53778618123636
5050,3.69361591819029,3.3278064027415,3.66285001378847,3.43940174004236,3.34279104219895,3.31297713023376
56994,3.42314164759868,3.35406525973003,3.41162288876026,3.54842537806459,3.52224589766671,3.53175796222105
644,3.58686839022177,3.51460412900899,3.53265439763366,3.30631714048791,3.48880512885877,3.35930489810069
4719,3.38644755911644,3.44920833705634,3.38367722674601,3.55047834109267,3.49949081208821,3.52262948863937
7384,3.20065564409234,3.48257898970064,3.45502648321444,3.55864277007464,3.51980571685075,3.56853573372322
5631,3.41593872226139,3.4109780248147,3.37831765913042,3.56775453243779,3.4990350824405,3.51963514478523
5634,3.41593872226139,3.4109780248147,3.37831765913042,3.56775453243779,3.4990350824405,3.51963514478523
1373,3.20108474969024,3.73840084766594,3.75231041721274,3.4639044508152,3.23782209504617,3.37207901618527
57026,3.66548463579355,3.39198971951676,3.5730288223493,3.4679798436614,3.42053877314813,3.26548827892165
4257,3.28418217213799,3.59647902041154,3.24922444755347,3.52271896299754,3.55016986224169,3.57968784538422
1329,3.40691576077739,3.3399906887763,3.41905464318502,3.41000735580381,3.62861672508793,3.58331548982768
5049,3.56638068965528,3.56884511481409,3.46475231702917,3.44661234676787,3.43379539787537,3.30938147548992
5162,3.33556697784286,3.49864980412309,3.35883208552273,3.50165556731803,3.52770043761738,3.56752930589281
4723,3.44197966450352,3.50184144876952,3.2268558475207,3.50650076629601,3.56083597007621,3.54882708190269
55902,3.6018797169597,3.49648054722902,3.53429920853765,3.16054122774513,3.48250671534331,3.50694442104155
353,3.70635564024567,3.29432400871737,3.63906129632275,3.47323032250516,3.31658998925604,3.34947695623017
27430,3.60301974595395,3.42369106727242,3.58093837977086,3.30134483260735,3.53740807706504,3.33983649954145
291,3.41235081951739,3.40925426525596,3.39894561075462,3.50354007309157,3.51719729308056,3.55094226679651
2023,3.52324026720236,3.42581409180132,3.59184269101852,3.42719279198719,3.4255865838461,3.39787699662484
6307,3.44427929947405,3.32312939634497,3.41739603975771,3.60386584112608,3.62093154746862,3.37738455042771
32,3.36624083922231,3.48922454192132,3.38264995330159,3.49414843394283,3.55062641391631,3.50880838996164
166012,3.46387438229144,3.35287879231573,3.41888603766184,3.51918711674111,3.49263420802461,3.54448890412185
2590,3.40547127717892,3.4386475242131,3.42941835044146,3.4991526677234,3.51892299415861,3.50171051411876
2752,3.28154929805907,3.50765065940734,3.43014426729606,3.51231681709035,3.48153241907625,3.576098572217
11332,3.62472380434829,3.51576599966942,3.43489394719255,3.43636459187416,3.36335447997181,3.4150283723097
2530,3.28213199355554,3.5068080463621,3.42274128856924,3.50480859231923,3.54190933667839,3.53116627625882
1152,3.51812320299694,3.47043690476509,3.53377308077996,3.42576114334288,3.42463322055015,3.42041258197744
6480,3.45817193211703,3.38328516467267,3.41809597906717,3.51690252568494,3.4818028845701,3.53448551916397
6240,3.38533067269615,3.51849702437535,3.31867877960303,3.52592355701529,3.47682330407699,3.56473553309733
55577,3.70729315169108,3.43395507656252,3.434984003966,3.41370761315559,3.4004610730008,3.39672112352971
5230,3.53684819973753,3.43008268975694,3.55861505015679,3.42398999673114,3.42844587882619,3.41435507157694
10402,3.44044668926785,3.37979214544217,3.40685037110306,3.40345638905312,3.57474827673482,3.58496171858055
64087,3.23505426818256,3.49075784383488,3.48840888520887,3.52794633467652,3.55023236100968,3.49546583484355
6713,3.37444247153703,3.67836694816726,3.5418730101261,3.25535214936019,3.61848646073189,3.31079952355463
6611,3.29902439586003,3.47624816517773,3.46219237940807,3.51027143415196,3.49776511568177,3.54521616356461
9415,3.45616821576437,3.44463772255594,3.37296532003538,3.52805908985968,3.46630539783822,3.5246324166075
