Entrez,TR1,TR2,TR3,WR1,WR2,WR3
6611,3.34847275638583,3.3784028500246,3.33041035958967,3.5976944215478,3.59057242598875,3.54102712547253
6646,3.3702089789177,3.27945446709901,3.2511247294079,3.66089844404588,3.6026725493062,3.61323313055073
8435,4.17303323208126,4.03488312866593,4.16530807093618,2.73412907952207,2.62870088238733,2.75546648692138
6647,3.1248331015559,3.17921559711224,3.0649092150328,3.74668234349929,3.77835398928742,3.83347533480342
6648,3.81476962314828,3.6757721338138,3.82854295873553,3.09199572590647,3.22934594514108,3.09071018235541
6649,4.77458989055496,3.82847513726933,2.87366289981871,3.35563817126922,3.2776238264728,2.32433807226506
6652,3.11661144194111,3.12031055205266,3.11674410930315,3.8646125858943,3.76010067661564,3.74730466771694
28972,3.28014282129282,3.33926873323967,3.17401533064144,3.80834263780788,3.5234585103723,3.64041970353717
9789,3.47280938851378,3.52452453604315,3.42596084590242,3.55548956417178,3.48876228293464,3.32349121765783
60559,3.47639761548526,3.46648942788462,3.47867117722726,3.65202760804159,3.48301219981208,3.2287152098881
8877,3.88958780309117,3.8977603095803,3.83767414514672,3.01029075277976,2.75842196561674,3.27741877310449
56848,3.38400066208692,3.16266882348023,3.32880102931821,3.41549694825479,3.51242341204558,3.95435741453551
6697,3.22592609973045,3.16895591021359,3.05489259343871,3.72223235595341,3.81864543227284,3.74561347452227
10558,3.44280404629188,3.38046837641493,3.3292919841797,3.60571918821339,3.51651854446278,3.51451750533871
9517,3.91563382041995,3.69849354528839,3.82395908659844,2.88512198837041,3.50121300763536,2.86300373903129
55304,3.02718735131726,3.07762828998803,2.95488552125394,3.74588470462774,4.12499712395983,3.74392074407756
6713,3.96861626487437,3.98678425448138,3.88921808376442,2.97299924503978,2.88760982454348,2.93343399390971
6715,3.01953580760313,3.07451341436782,3.41173487771222,3.61371358330262,3.7123822649999,3.90017228660317
6716,1.742850336207,4.70557449002565,4.56488078492468,3.83937037662973,2.76012273157966,2.4626478650207
6723,2.98262280174818,2.81841265573186,2.8598280564284,3.92823807105184,3.89266424414412,4.12794258923986
6727,3.56958334412404,3.5169396235414,3.49409024712758,3.41076186788655,3.43830364092658,3.36185930421645
6728,3.25409926209535,3.35800618063698,3.28814562862132,3.83686349930552,3.58272760529332,3.45036384546443
6729,3.55385751837518,3.45033686243035,3.49692066879902,3.4809993603486,3.58133006257277,3.22289600170296
6730,3.22763134461032,3.27525064965224,3.28761905489825,3.65461246386802,3.73714932675549,3.58725103286762
6731,3.17899398767984,3.13519966543518,3.06341477793433,3.84649542818949,3.85052673753635,3.65170028795633
6734,3.49792214111916,3.46552747565562,3.52398462675639,3.40927572280989,3.49016026730944,3.40637240510863
58477,2.9294030546655,3.02005199724276,3.18829966161986,3.92193848343311,3.86115062918133,3.77188267535096
6745,3.4966535066462,3.46316335751829,3.56289816849213,3.55917297330948,3.44700763913218,3.25935841724431
6746,3.57025029871943,3.60012065606097,3.64636489368591,3.30682643266152,3.30070036492483,3.35757410993695
6747,3.44542112168033,3.46453925044618,3.4640333820466,3.5159600225942,3.58249962283821,3.31813593103584
6748,3.66215814278657,3.71325872666909,3.4402707568759,3.25150066359641,3.26700478191168,3.44153842332847
6482,3.75751445390433,3.97544567985768,3.73506574202218,3.00386477456786,3.1090271320628,3.1261516028497
6483,3.55576625570852,3.52874350233002,3.48474247120782,3.32154593082527,3.39790316582854,3.50181603996069
6487,3.48876946131678,3.41854342463863,3.47289964439293,3.43730185444021,3.55722275864144,3.41825040461646
6484,3.20983028410572,3.24697892824574,3.56350504663196,4.00964330283308,3.05780575959033,3.64442057845053
8869,3.95027845025453,3.81371516172223,3.75112911251987,3.01392687199594,3.25754053173664,2.90889909678973
10402,3.63816315100168,3.42733024221269,3.63451048862244,3.41870990735732,3.4431367962405,3.22033293010073
6480,3.46117029589021,3.50008627067118,3.4297017337648,3.47919812242387,3.48321164501073,3.44068610521681
55808,0,4.97877483433872,3.82869432305895,2.13558870399348,5.16907106303926,2.93350512504112
10610,1.81765315044858,3.52457515944808,4.9363901304847,1.54844951700592,2.86597315685178,4.99778879892972
256435,4.31909457584578,4.25165994776357,0,0,4.96144968999607,4.75823016708301
81849,3.33220296648612,2.42272639186337,3.43968657121848,2.85144507559359,4.71728333182935,3.7145375481249
30815,3.52965925013514,3.58202319608748,3.49033125577254,3.54839668452313,3.27525221948116,3.36157168744785
6489,4.46781489724128,2.28691104718736,3.49063930071971,4.05421223257437,3.9059120197598,2.1341887720665
29906,2.68183996964915,3.17004599736824,3.06082996404821,3.58890079399284,3.03615925330854,4.92052681761834
10948,3.80580942717222,3.47937016899274,3.62149304481308,3.18577873372632,3.27644113640153,3.39955327427644
64220,0,9.72955074527657,0,0,0,0
412,3.53735795550269,3.09365768249145,3.56897841363896,3.82115890309141,3.537420385057,3.20037389881213
3703,3.5227027460617,3.49237714145552,3.5282533531506,3.43010748367896,3.4169597036753,3.40246321426065
201595,3.2950268587763,3.30349640767222,3.33466982680081,3.7028138811153,3.65656878819249,3.48521455448584
8676,4.00244776962375,4.27946831270902,4.80884213816652,1.51495365141918,2.71827603605274,2.73303153000671
23673,3.5245717538464,3.65234362243805,3.624576816948,3.33540833718479,3.40063820614335,3.24348002142856
8675,3.47255044538708,3.42634974003489,3.5054655082854,3.39645893083218,3.51630892475586,3.47621889252809
53407,3.42066284820169,3.0344985627524,3.31220810672783,3.67633010677394,3.66143305158887,3.6566057474203
415117,7.06426459337174,6.79505578635302,0,0,0,0
112755,4.07529819705433,4.54642072394355,2.87422887224619,3.58055370498865,3.18268738084586,2.17480961950921
6810,3.7532207109833,3.71460268710702,3.92816267321626,3.19710681670027,2.89121646069534,3.22893743829804
6811,3.59799549866322,3.58602356283327,3.67501499243598,3.25779158587414,3.25207813100627,3.40875794251122
10228,3.24815433183621,3.28024571763363,3.48812704442014,3.59014836106772,3.60199352077707,3.57303747884829
8417,3.77020816175578,3.89674814056954,3.88217896386332,3.12595458568591,2.92820321002253,3.09189649928751
9482,3.24557445596798,3.44591294406104,3.40950112873538,3.56522031852174,3.30936559731089,3.79894043234339
8803,3.42721251499212,3.37507724797216,3.29790534463694,3.71720765292039,3.52423491672264,3.44219726395759
8802,3.06924288815409,3.16338080152772,3.10678077435405,3.85995424011954,3.80575037462674,3.71818414788988
